TLD,TLD DUM,Phishing Attacks,Phishing Attack Score,Malicious Phishing Attacks,Malicious Phishing Attack Score,Phishing Domains,Phishing Domain Score,Malicious Phishing Domains,Malicious Phishing Domains Score,Top Registrar (ID),Top Registrar,Registrar's Phishing Domains,Registrar's Phishing Domains (%),Registrar's Malicious Phishing Domains,Registrar's Malicious Phishing Domains (%)
ink,111084,5238,471.54,5019,451.82,3658,329.30,3474,312.74,3775,"Dominet (HK) Limited",2490,68%,2486,72%
io,1266007,9629,76.06,6080,48.03,1248,9.86,756,5.97,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",591,47%,448,59%
ir,1415642,118,0.83,13,0.09,60,0.42,10,0.07,,,,,
it,3319411,411,1.24,97,0.29,320,0.96,88,0.27,,"Register S.p.a.",73,23%,,
jp,1804563,676,3.75,115,0.64,570,3.16,44,0.24,,,,,
ke,112883,65,5.76,5,0.44,59,5.23,5,0.44,,"Truehost AI",18,31%,,
kr,1033202,794,7.68,129,1.25,172,1.66,92,0.89,,,,,
kz,182859,80,4.37,22,1.20,49,2.68,5,0.27,,,,,
la,48271,43,8.91,24,4.97,37,7.67,24,4.97,269,"Key-Systems GmbH",16,43%,,
lat,137498,3974,289.02,3634,264.29,2842,206.69,2518,183.13,1479,"NameSilo, LLC",831,29%,776,31%
li,70071,63,8.99,8,1.14,33,4.71,7,1.00,,,,,
life,415226,16260,391.59,15947,384.06,9625,231.80,9351,225.20,472,"Dynadot Inc",3895,40%,3880,41%
link,285980,3071,107.39,959,33.53,834,29.16,614,21.47,4326,"Unstoppable Domains Inc.",321,38%,212,35%
live,561277,6204,110.53,4898,87.27,5609,99.93,4397,78.34,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",2292,41%,2085,47%
lk,87741,35,3.99,2,0.23,29,3.31,2,0.23,,,,,
llc,50711,510,100.57,507,99.98,245,48.31,242,47.72,472,"Dynadot Inc",215,88%,215,89%
loan,58869,267,45.35,260,44.17,266,45.19,259,44.00,472,"Dynadot Inc",246,92%,241,93%
lol,665055,3474,52.24,3187,47.92,2147,32.28,1868,28.09,3956,"Global Domain Group LLC",403,19%,390,21%
love,64886,99,15.26,80,12.33,77,11.87,62,9.56,1556,"Chengdu West Dimension Digital Technology Co., Ltd.",49,64%,39,63%
lt,249543,81,3.25,48,1.92,77,3.09,47,1.88,1647,"Hosting Concepts B.V. d/b/a Registrar.eu",47,61%,,
ltd,111300,286,25.70,154,13.84,262,23.54,135,12.13,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",56,21%,40,30%
makeup,110009,299,27.18,272,24.73,187,17.00,161,14.64,1923,"Gname.com Pte. Ltd.",46,25%,46,29%
md,38978,25,6.41,6,1.54,25,6.41,6,1.54,,,,,
me,1100649,1608,14.61,792,7.20,1015,9.22,596,5.41,472,"Dynadot Inc",266,26%,201,34%
media,90059,119,13.21,37,4.11,52,5.77,33,3.66,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",18,35%,18,55%
mobi,395488,487,12.31,422,10.67,386,9.76,323,8.17,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",181,47%,178,55%
mom,57458,7475,1300.95,7428,1292.77,4174,726.44,4135,719.66,1479,"NameSilo, LLC",3756,90%,3735,90%
monster,31819,100,31.43,76,23.89,100,31.43,76,23.89,472,"Dynadot Inc",26,26%,24,32%
mx,1155758,298,2.58,74,0.64,240,2.08,66,0.57,303,"PDR Ltd. d/b/a PublicDomainRegistry.com",37,15%,,
my,799142,2472,30.93,1662,20.80,2334,29.21,1538,19.25,472,"Dynadot Inc",1514,65%,899,58%
name,93012,146,15.70,100,10.75,115,12.36,69,7.42,303,"PDR Ltd. d/b/a PublicDomainRegistry.com",29,25%,8,12%
net,12205093,41598,34.08,25026,20.50,13119,10.75,8821,7.23,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",3092,24%,2461,28%
network,73761,582,78.90,301,40.81,323,43.79,264,35.79,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",211,65%,188,71%
news,72626,149,20.52,128,17.62,111,15.28,90,12.39,472,"Dynadot Inc",40,36%,40,44%
ng,192850,113,5.86,24,1.24,100,5.19,20,1.04,3954,"GO54 LIMITED",2,2%,2,10%
nl,5978708,418,0.70,150,0.25,352,0.59,130,0.22,,"Registrar.eu",66,19%,,
no,843277,49,0.58,8,0.09,40,0.47,7,0.08,,"Domeneshop AS",22,55%,,
nz,747776,89,1.19,22,0.29,80,1.07,20,0.27,,,,,
one,236475,5971,252.50,5849,247.34,3404,143.95,3299,139.51,1923,"Gname.com Pte. Ltd.",1964,58%,1938,59%
online,3318823,9644,29.06,7298,21.99,8790,26.49,6667,20.09,146,"GoDaddy.com, LLC",1202,14%,919,14%
org,11817837,14195,12.01,8123,6.87,9930,8.40,6575,5.56,1068,"NameCheap, Inc.",2411,24%,2005,30%
page,35332,848,240.01,166,46.98,37,10.47,12,3.40,1068,"NameCheap, Inc.",7,19%,,
pe,135296,63,4.66,12,0.89,52,3.84,9,0.67,,"NIC.PE",33,63%,,
ph,174589,84,4.81,32,1.83,64,3.67,24,1.37,,,,,
pics,91204,3190,349.77,3109,340.88,1504,164.91,1433,157.12,1479,"NameSilo, LLC",1066,71%,1036,72%
pk,148305,97,6.54,18,1.21,79,5.33,12,0.81,,,,,
pl,2550774,1659,6.50,1165,4.57,815,3.20,459,1.80,,"nazwa.pl sp. z o.o.",141,17%,,
plus,33134,30,9.05,19,5.73,27,8.15,16,4.83,472,"Dynadot Inc",6,22%,6,38%
pro,1091118,14580,133.62,13131,120.34,13514,123.85,12117,111.05,1068,"NameCheap, Inc.",4181,31%,3987,33%
pt,459945,110,2.39,18,0.39,86,1.87,16,0.35,,,,,
pw,249930,521,20.85,376,15.04,446,17.84,312,12.48,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",172,39%,120,38%
qpon,72471,880,121.43,746,102.94,591,81.55,479,66.10,1923,"Gname.com Pte. Ltd.",158,27%,108,23%
quest,49369,902,182.71,880,178.25,461,93.38,443,89.73,1923,"Gname.com Pte. Ltd.",195,42%,195,44%
rest,79245,3420,431.57,3311,417.82,3307,417.31,3208,404.82,1068,"NameCheap, Inc.",2945,89%,2935,91%
ro,624634,233,3.73,46,0.74,170,2.72,45,0.72,,"Netim",25,15%,,
rs,154409,44,2.85,8,0.52,36,2.33,6,0.39,,,,,
ru,5969293,4682,7.84,2116,3.54,4355,7.30,2068,3.46,,"REGRU-RU",2840,65%,,
run,129819,271,20.88,158,12.17,211,16.25,143,11.02,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",83,39%,63,44%
sbs,1370480,25500,186.07,23737,173.20,17207,125.55,15551,113.47,472,"Dynadot Inc",5348,31%,5060,33%
se,1406737,104,0.74,23,0.16,77,0.55,23,0.16,,"Loopia AB",28,36%,,
services,87738,135,15.39,78,8.89,124,14.13,72,8.21,146,"GoDaddy.com, LLC",37,30%,27,38%
sh,39270,436,111.03,276,70.28,42,10.70,25,6.37,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",17,40%,11,44%
shop,3942700,29098,73.80,25526,64.74,20888,52.98,18453,46.80,3862,"Spaceship, Inc.",3269,16%,3257,18%
si,166751,33,1.98,10,0.60,28,1.68,10,0.60,,"org",28,100%,,
site,1732712,8389,48.42,6264,36.15,7051,40.69,5241,30.25,1068,"NameCheap, Inc.",2204,31%,1829,35%
sk,475639,56,1.18,16,0.34,45,0.95,15,0.32,,"WEBS-0001",13,29%,,
skin,161019,454,28.20,402,24.97,372,23.10,326,20.25,1556,"Chengdu West Dimension Digital Technology Co., Ltd.",106,28%,93,29%
social,46518,70,15.05,44,9.46,64,13.76,39,8.38,1556,"Chengdu West Dimension Digital Technology Co., Ltd.",22,34%,16,41%
solutions,102136,44,4.31,16,1.57,37,3.62,14,1.37,146,"GoDaddy.com, LLC",7,19%,3,21%
space,525368,1361,25.91,1001,19.05,1243,23.66,906,17.25,1068,"NameCheap, Inc.",424,34%,318,35%
store,2074032,2430,11.72,1730,8.34,2233,10.77,1592,7.68,1068,"NameCheap, Inc.",924,41%,752,47%
studio,177259,34,1.92,14,0.79,30,1.69,11,0.62,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",5,17%,3,27%
su,105593,359,34.00,136,12.88,262,24.81,100,9.47,,"REGRU-SU",86,33%,,
support,39847,447,112.18,340,85.33,383,96.12,288,72.28,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",61,16%,55,19%
systems,41940,36,8.58,23,5.48,34,8.11,22,5.25,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",18,53%,17,77%
team,61154,118,19.30,90,14.72,112,18.31,85,13.90,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",34,30%,28,33%
tech,506024,622,12.29,406,8.02,522,10.32,327,6.46,1913,"Namify Domains Inc",61,12%,34,10%
to,67049,252,37.58,143,21.33,204,30.43,139,20.73,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",117,57%,96,69%
today,125238,589,47.03,470,37.53,537,42.88,427,34.10,3765,"NICENIC INTERNATIONAL GROUP CO., LIMITED",240,45%,210,49%
tokyo,90006,133,14.78,117,13.00,131,14.55,116,12.89,49,"GMO Internet Group, Inc. d/b/a Onamae.com",114,87%,111,96%
top,6299448,137661,218.53,131492,208.74,124452,197.56,118705,188.44,3862,"Spaceship, Inc.",85911,69%,85897,72%
town,31904,202,63.31,147,46.08,202,63.31,147,46.08,472,"Dynadot Inc",199,99%,146,99%
tr,1207774,375,3.10,76,0.63,339,2.81,68,0.56,,,,,
tv,384590,156,4.06,113,2.94,142,3.69,110,2.86,1923,"Gname.com Pte. Ltd.",59,42%,59,54%
tw,355704,306,8.60,213,5.99,277,7.79,201,5.65,,"Dynadot LLC",169,61%,,
ua,485371,246,5.07,76,1.57,158,3.26,41,0.84,,"ТОВ 'НІК.ЮЕЙ'",52,33%,,
uk,9954548,1618,1.63,760,0.76,1410,1.42,677,0.68,,"Dynadot, LLC t/a Dynadot",234,17%,,
uno,34008,105,30.88,75,22.05,84,24.70,57,16.76,3758,"Hefei Juming Network Technology Co., Ltd",19,23%,16,28%
